球団 , 選手名 , 守備 , 生年月日 , 身長 , 体重
阪神 , 中谷　将大 , 外野手 , 1993/01/05 , 187 , 96
阪神 , 望月　惇志 , 投手 , 1997/08/02 , 190 , 90
阪神 , 植田　海 , 内野手 , 1996/04/19 , 175 , 71
阪神 , 板山　祐太郎 , 外野手 , 1994/03/27 , 180 , 80
阪神 , 桑原　謙太朗 , 投手 , 1985/10/29 , 184 , 90
阪神 , 湯浅　京己 , 投手 , 1999/07/17 , 183 , 86
阪神 , 小川　一平 , 投手 , 1997/06/03 , 182 , 80
阪神 , 岩崎　優 , 投手 , 1991/06/19 , 185 , 88
阪神 , 俊介 , 外野手 , 1987/08/17 , 178 , 77
阪神 , 島本　浩也 , 投手 , 1993/02/14 , 176 , 75
阪神 , スアレス , 投手 , 1991/03/01 , 188 , 95
阪神 , ガルシア , 投手 , 1989/08/02 , 190 , 104
阪神 , 伊藤　和雄 , 投手 , 1989/12/13 , 186 , 95
阪神 , 原口　文仁 , 捕手 , 1992/03/03 , 182 , 93
阪神 , 片山　雄哉 , 捕手 , 1994/06/18 , 177 , 91
阪神 , 横山　雄哉 , 投手 , 1994/02/21 , 183 , 84
阪神 , 石井　将希 , 投手 , 1995/07/12 , 180 , 88
阪神 , 藤谷　洸介 , 内野手 , 1996/02/12 , 194 , 88
阪神 , 牧　丈一郎 , 投手 , 1999/09/23 , 181 , 86
阪神 , 小野寺　暖 , 外野手 , 1998/03/17 , 183 , 82
阪神 , 奥山　皓太 , 外野手 , 1997/09/03 , 186 , 93
広島 , 選手名 , 守備 , 生年月日 , 身長 , 体重
広島 , 曽根　海成 , 内野手 , 1995/04/24 , 175 , 74
広島 , 上本　崇司 , 内野手 , 1990/08/22 , 170 , 71
広島 , 鈴木　誠也 , 外野手 , 1994/08/18 , 181 , 98
広島 , 田中　広輔 , 内野手 , 1989/07/03 , 171 , 84
広島 , 小窪　哲也 , 内野手 , 1985/04/12 , 175 , 85
広島 , 長野　久義 , 外野手 , 1984/12/06 , 180 , 85
広島 , 安部　友裕 , 内野手 , 1989/06/24 , 181 , 84
広島 , 堂林　翔太 , 内野手 , 1991/08/17 , 183 , 88
広島 , ピレラ , 外野手 , 1989/11/21 , 182 , 99
広島 , 九里　亜蓮 , 投手 , 1991/09/01 , 187 , 95
広島 , 矢崎　拓也 , 投手 , 1994/12/31 , 176 , 90
広島 , 大瀬良　大地 , 投手 , 1991/06/17 , 187 , 95
広島 , 今村　猛 , 投手 , 1991/04/17 , 183 , 99
広島 , 岡田　明丈 , 投手 , 1993/10/18 , 185 , 92
広島 , 森下　暢仁 , 投手 , 1997/08/25 , 180 , 76
広島 , 野村　祐輔 , 投手 , 1989/06/24 , 177 , 89
広島 , 中﨑　翔太 , 投手 , 1992/08/10 , 186 , 99
広島 , 中村　奨成 , 捕手 , 1999/06/06 , 181 , 78
広島 , 薮田　和樹 , 投手 , 1992/08/07 , 188 , 86
広島 , 中田　廉 , 投手 , 1990/07/21 , 189 , 95
広島 , 會澤　翼 , 捕手 , 1988/04/13 , 177 , 91
広島 , 床田　寛樹 , 投手 , 1995/03/01 , 181 , 88
広島 , ケムナ　誠 , 投手 , 1995/06/05 , 190 , 95
広島 , 一岡　竜司 , 投手 , 1991/01/11 , 179 , 81
広島 , 石原　慶幸 , 捕手 , 1979/09/07 , 177 , 90
広島 , 白濱　裕太 , 捕手 , 1985/10/31 , 180 , 90
広島 , 菊池　涼介 , 内野手 , 1990/03/11 , 171 , 72
広島 , 高橋　昂也 , 投手 , 1998/09/27 , 181 , 90
広島 , 三好　匠 , 内野手 , 1993/06/07 , 174 , 84
広島 , 塹江　敦哉 , 投手 , 1997/02/21 , 178 , 87
広島 , 野間　峻祥 , 外野手 , 1993/01/28 , 180 , 89
広島 , 宇草　孔基 , 外野手 , 1997/04/17 , 185 , 83
広島 , 菊池　保則 , 投手 , 1989/09/18 , 180 , 103
広島 , 磯村　嘉孝 , 捕手 , 1992/11/01 , 178 , 90
広島 , 藤井　皓哉 , 投手 , 1996/07/29 , 181 , 86
広島 , Ｋ．ジョンソン , 投手 , 1984/10/14 , 193 , 95
広島 , 島内　颯太郎 , 投手 , 1996/10/14 , 180 , 83
広島 , 林　晃汰 , 内野手 , 2000/11/16 , 182 , 94
広島 , 桒原　樹 , 内野手 , 1996/07/04 , 180 , 87
広島 , 高橋　樹也 , 投手 , 1997/06/21 , 176 , 82
広島 , 山口　翔 , 投手 , 1999/04/28 , 181 , 82
広島 , アドゥワ　誠 , 投手 , 1998/10/02 , 196 , 85
広島 , 正隨　優弥 , 外野手 , 1996/04/02 , 180 , 96
広島 , 髙橋　大樹 , 外野手 , 1994/05/11 , 181 , 92
広島 , 小園　海斗 , 内野手 , 2000/06/07 , 178 , 84
広島 , 鈴木　寛人 , 投手 , 2001/10/07 , 186 , 79
広島 , 戸田　隆矢 , 投手 , 1993/06/10 , 181 , 84
広島 , 韮澤　雄也 , 内野手 , 2001/05/20 , 178 , 80
広島 , 松山　竜平 , 外野手 , 1985/09/18 , 176 , 96
広島 , 中神　拓都 , 内野手 , 2000/05/29 , 175 , 90
広島 , 田中　法彦 , 投手 , 2000/10/19 , 173 , 83
広島 , ＤＪ．ジョンソン , 投手 , 1989/08/30 , 193 , 104
広島 , 大盛　穂 , 外野手 , 1996/08/31 , 180 , 71
広島 , 永井　敦士 , 外野手 , 2000/01/10 , 178 , 88
広島 , 坂倉　将吾 , 捕手 , 1998/05/29 , 176 , 86
広島 , 石原　貴規 , 捕手 , 1998/02/03 , 173 , 75
広島 , 西川　龍馬 , 内野手 , 1994/12/10 , 176 , 74
広島 , 中村　恭平 , 投手 , 1989/03/22 , 185 , 91
広島 , 玉村　昇悟 , 投手 , 2001/04/16 , 177 , 75
広島 , 遠藤　淳志 , 投手 , 1999/04/08 , 184 , 78
広島 , 中村　祐太 , 投手 , 1995/08/31 , 184 , 89
広島 , 平岡　敬人 , 投手 , 1995/08/06 , 186 , 95
広島 , 羽月　隆太郎 , 内野手 , 2000/04/19 , 167 , 70
広島 , スコット , 投手 , 1992/06/01 , 190 , 84
広島 , メヒア , 内野手 , 1993/03/10 , 192 , 108
広島 , フランスア , 投手 , 1993/09/25 , 186 , 103
広島 , モンティージャ , 投手 , 1995/10/02 , 190 , 116
広島 , 畝　章真 , 投手 , 1995/09/09 , 177 , 83
広島 , 藤井　黎來 , 投手 , 1999/09/17 , 182 , 92
広島 , 佐々木　健 , 投手 , 1999/04/02 , 189 , 82
広島 , 持丸　泰輝 , 捕手 , 2001/10/26 , 177 , 80
広島 , 木下　元秀 , 外野手 , 2001/07/25 , 183 , 87
広島 , メナ , 投手 , 1993/12/06 , 187 , 88
中日 , 選手名 , 守備 , 生年月日 , 身長 , 体重
中日 , 髙松　渡 , 内野手 , 1999/07/02 , 176 , 65
中日 , 京田　陽太 , 内野手 , 1994/04/20 , 184 , 83
中日 , 石川　昂弥 , 内野手 , 2001/06/22 , 185 , 93
中日 , 高橋　周平 , 内野手 , 1994/01/18 , 180 , 85
中日 , 藤井　淳志 , 外野手 , 1981/05/20 , 183 , 82
中日 , 阿部　寿樹 , 内野手 , 1989/12/03 , 185 , 80
中日 , 平田　良介 , 外野手 , 1988/03/23 , 177 , 87
中日 , 根尾　昂 , 内野手 , 2000/04/19 , 177 , 80
中日 , 大島　洋平 , 外野手 , 1985/11/09 , 176 , 75
中日 , 石川　駿 , 内野手 , 1990/05/26 , 178 , 82
中日 , 小笠原　慎之介 , 投手 , 1997/10/08 , 180 , 95
中日 , 田島　慎二 , 投手 , 1989/12/21 , 181 , 84
中日 , 橋本　侑樹 , 投手 , 1998/01/08 , 180 , 71
中日 , 谷元　圭介 , 投手 , 1985/01/28 , 167 , 72
中日 , 又吉　克樹 , 投手 , 1990/11/04 , 181 , 74
中日 , 柳　裕也 , 投手 , 1994/04/22 , 180 , 85
中日 , 吉見　一起 , 投手 , 1984/09/19 , 182 , 90
中日 , 岡田　俊哉 , 投手 , 1991/12/05 , 178 , 67
中日 , 大野　雄大 , 投手 , 1988/09/26 , 183 , 83
中日 , 遠藤　一星 , 外野手 , 1989/03/23 , 182 , 83
中日 , 福谷　浩司 , 投手 , 1991/01/09 , 183 , 90
中日 , 佐藤　優 , 投手 , 1993/06/29 , 187 , 85
中日 , 井領　雅貴 , 外野手 , 1989/11/04 , 174 , 82
中日 , 大野　奨太 , 捕手 , 1987/01/13 , 177 , 78
中日 , 梅津　晃大 , 投手 , 1996/10/24 , 187 , 90
中日 , 山井　大介 , 投手 , 1978/05/10 , 179 , 86
中日 , 阿知羅　拓馬 , 投手 , 1992/11/20 , 190 , 95
中日 , 渡辺　勝 , 外野手 , 1993/10/14 , 172 , 80
中日 , 石垣　雅海 , 内野手 , 1998/09/21 , 181 , 85
中日 , 祖父江　大輔 , 投手 , 1987/08/11 , 175 , 80
中日 , 福　敬登 , 投手 , 1992/06/16 , 180 , 88
中日 , 木下　拓哉 , 捕手 , 1991/12/18 , 183 , 92
中日 , 岡野　祐一郎 , 投手 , 1994/04/16 , 180 , 85
中日 , 三ツ俣　大樹 , 内野手 , 1992/05/11 , 177 , 84
中日 , 松葉　貴大 , 投手 , 1990/08/14 , 178 , 82
中日 , 石川　翔 , 投手 , 1999/12/14 , 179 , 81
中日 , 勝野　昌慶 , 投手 , 1997/06/12 , 183 , 89
中日 , アルモンテ , 外野手 , 1989/06/10 , 183 , 98
中日 , 三ツ間　卓也 , 投手 , 1992/07/22 , 183 , 92
中日 , 郡司　裕也 , 捕手 , 1997/12/27 , 180 , 86
中日 , 鈴木　博志 , 投手 , 1997/03/22 , 181 , 95
中日 , 笠原　祥太郎 , 投手 , 1995/03/17 , 177 , 85
中日 , 溝脇　隼人 , 内野手 , 1994/05/17 , 179 , 75
中日 , 伊藤　康祐 , 外野手 , 2000/02/03 , 174 , 75
中日 , 清水　達也 , 投手 , 1999/11/03 , 182 , 83
中日 , 滝野　要 , 外野手 , 1996/07/08 , 185 , 76
中日 , 加藤　匠馬 , 捕手 , 1992/04/29 , 175 , 76
中日 , ゴンサレス , 投手 , 1992/01/17 , 188 , 93
中日 , 藤嶋　健人 , 投手 , 1998/05/08 , 177 , 85
中日 , 福田　永将 , 内野手 , 1988/07/23 , 181 , 88
中日 , 武田　健吾 , 外野手 , 1994/04/18 , 183 , 85
中日 , 石橋　康太 , 捕手 , 2000/12/07 , 180 , 87
中日 , 山本　拓実 , 投手 , 2000/01/31 , 167 , 71
中日 , 岡林　勇希 , 外野手 , 2002/02/22 , 175 , 74
中日 , 垣越　建伸 , 投手 , 2000/04/03 , 184 , 96
中日 , 竹内　龍臣 , 投手 , 2001/12/11 , 178 , 77
中日 , 堂上　直倫 , 内野手 , 1988/09/23 , 184 , 86
中日 , 小熊　凌祐 , 投手 , 1990/08/11 , 178 , 84
中日 , 伊藤　準規 , 投手 , 1991/01/07 , 187 , 80
中日 , ビシエド , 内野手 , 1989/03/10 , 185 , 108
中日 , 桂　依央利 , 捕手 , 1991/07/09 , 185 , 90
中日 , 濱田　達郎 , 投手 , 1994/08/04 , 185 , 95
中日 , ロメロ , 投手 , 1991/01/24 , 190 , 103
中日 , Ｒ．マルティネス , 投手 , 1996/10/11 , 193 , 93
中日 , 木下　雄介 , 投手 , 1993/10/10 , 183 , 80
中日 , 鈴木　翔太 , 投手 , 1995/06/16 , 183 , 75
中日 , ブリトー , 投手 , 1996/07/19 , 185 , 80
中日 , 浜田　智博 , 投手 , 1992/10/01 , 184 , 80
中日 , 丸山　泰資 , 投手 , 1995/02/05 , 176 , 80
中日 , 石岡　諒太 , 内野手 , 1992/05/25 , 187 , 90
中日 , 大藏　彰人 , 投手 , 1994/05/15 , 190 , 88
中日 , 松田　亘哲 , 投手 , 1997/05/16 , 176 , 80
中日 , マルク , 投手 , 1995/07/18 , 184 , 83
中日 , Ａ．マルティネス , 捕手 , 1996/05/28 , 190 , 95
中日 , シエラ , 外野手 , 1988/09/24 , 185 , 105
中日 , ロドリゲス , 投手 , 1997/03/10 , 186 , 97
西武 , 選手名 , 守備 , 生年月日 , 身長 , 体重
西武 , 藤井　亮太 , 内野手 , 1988/09/30 , 176 , 73
西武 , 奥村　展征 , 内野手 , 1995/05/26 , 178 , 76
西武 , 山田　哲人 , 内野手 , 1992/07/16 , 180 , 76
西武 , エスコバー , 内野手 , 1986/12/16 , 185 , 88
